cell,method,normalized,physical
ett1_15min_ot--chronos,ar_2026091903,0.155494775055305,0.3564727618159733
ett1_15min_ot--chronos,ar_2026091904,0.15556678341501715,0.3565932930164523
ett1_15min_ot--chronos,ar_2026091905,0.15587303788247184,0.35739779405923155
ett1_15min_ot--chronos,ar_2026091906,0.15565518911015688,0.35688442871208487
ett1_15min_ot--chronos,ar_2026091907,0.15564911499827205,0.35683165672623246
ett1_15min_ot--chronos,full_profile,0.1538636406283563,0.3524539076077943
ett1_15min_ot--chronos,reference,0.15395913594930855,0.352515250465516
ett1_15min_ot--chronos,conditional_ar,0.15564778009224461,0.35683598686599494
ett1_15min_ot--chronos,geometry,0.1538244943793186,0.35227844703591293
ett1_15min_ot--chronos,time,0.15395913594930855,0.352515250465516
jena_weather_10min_temperature--chronos,ar_2026091903,0.09005383563041953,0.32276002576661433
jena_weather_10min_temperature--chronos,ar_2026091904,0.09024065816385207,0.32344813671262557
jena_weather_10min_temperature--chronos,ar_2026091905,0.09031282772640206,0.32392932997881985
jena_weather_10min_temperature--chronos,ar_2026091906,0.09010918519489015,0.32295016645851565
jena_weather_10min_temperature--chronos,ar_2026091907,0.09060810778451778,0.3247025036090476
jena_weather_10min_temperature--chronos,full_profile,0.09123367758158385,0.32592194664730173
jena_weather_10min_temperature--chronos,reference,0.09139256722353349,0.32639402337722245
jena_weather_10min_temperature--chronos,conditional_ar,0.09026492290001631,0.32355803250512466
jena_weather_10min_temperature--chronos,geometry,0.09131489909687988,0.32615084340826156
jena_weather_10min_temperature--chronos,time,0.09139256722353349,0.32639402337722245
loop_seattle_5min_speed--chronos,ar_2026091903,0.39092847522405133,3.173198177817518
loop_seattle_5min_speed--chronos,ar_2026091904,0.3909974133842773,3.1740879375727467
loop_seattle_5min_speed--chronos,ar_2026091905,0.3910366239211703,3.1747746421739187
loop_seattle_5min_speed--chronos,ar_2026091906,0.39100093092131794,3.174087943201641
loop_seattle_5min_speed--chronos,ar_2026091907,0.39106399264661074,3.1741825266286376
loop_seattle_5min_speed--chronos,full_profile,0.3873197808882852,3.1412142355474857
loop_seattle_5min_speed--chronos,reference,0.38731835103009116,3.141477675537293
loop_seattle_5min_speed--chronos,conditional_ar,0.39100548721948547,3.1740662454788926
loop_seattle_5min_speed--chronos,geometry,0.3866018070800541,3.1352656234795826
loop_seattle_5min_speed--chronos,time,0.38733791960152375,3.1416487428874915
ett2_15min_ot--chronos,ar_2026091903,0.10011511170906555,0.6015885283476957
ett2_15min_ot--chronos,ar_2026091904,0.10016717020502683,0.6018515653753029
ett2_15min_ot--chronos,ar_2026091905,0.10009781090123401,0.6014950035188845
ett2_15min_ot--chronos,ar_2026091906,0.10011135729636213,0.6015922042846048
ett2_15min_ot--chronos,ar_2026091907,0.10014176584642018,0.6017665371826129
ett2_15min_ot--chronos,full_profile,0.09968928100032813,0.596120662125487
ett2_15min_ot--chronos,reference,0.0994432341612082,0.595450858365607
ett2_15min_ot--chronos,conditional_ar,0.10012664319162176,0.6016587677418203
ett2_15min_ot--chronos,geometry,0.09863535418353969,0.5894037451145915
ett2_15min_ot--chronos,time,0.09938392319091385,0.595100635686567
electricity_15min_load--chronos,ar_2026091903,0.11922644155217738,27.332431234218095
electricity_15min_load--chronos,ar_2026091904,0.11930634032110199,27.367273574352332
electricity_15min_load--chronos,ar_2026091905,0.11924772439505654,27.367282204024914
electricity_15min_load--chronos,ar_2026091906,0.11928080079520044,27.380779524467883
electricity_15min_load--chronos,ar_2026091907,0.11940507858818117,27.40094141534292
electricity_15min_load--chronos,full_profile,0.11838480900345884,27.170858760166904
electricity_15min_load--chronos,reference,0.11952321488020184,27.46628845370896
electricity_15min_load--chronos,conditional_ar,0.11929327713034352,27.36974159048123
electricity_15min_load--chronos,geometry,0.11896748466574748,27.29185039081967
electricity_15min_load--chronos,time,0.11931804587500267,27.404133332407877
solar_10min_power--chronos,ar_2026091903,0.09926971865550228,0.6983408628693388
solar_10min_power--chronos,ar_2026091904,0.09922171364390348,0.6977226400381493
solar_10min_power--chronos,ar_2026091905,0.09935773347840912,0.6989155401224733
solar_10min_power--chronos,ar_2026091906,0.09929744720850248,0.6985250491220913
solar_10min_power--chronos,ar_2026091907,0.09928167158967038,0.6978496451463343
solar_10min_power--chronos,full_profile,0.09935456981890398,0.696780147195724
solar_10min_power--chronos,reference,0.09890550366835822,0.6957396851117816
solar_10min_power--chronos,conditional_ar,0.09928565691519756,0.6982707474596774
solar_10min_power--chronos,geometry,0.09858865583628171,0.6930088670168829
solar_10min_power--chronos,time,0.09865745198971505,0.6937442136585933
ett1_15min_ot--flowstate,ar_2026091903,0.15581672113927794,0.35608591821156477
ett1_15min_ot--flowstate,ar_2026091904,0.15569329271263316,0.3556113719955352
ett1_15min_ot--flowstate,ar_2026091905,0.1556766187521205,0.35571224370640697
ett1_15min_ot--flowstate,ar_2026091906,0.1557349265650844,0.35581784082643775
ett1_15min_ot--flowstate,ar_2026091907,0.1557885080957323,0.3560499145766015
ett1_15min_ot--flowstate,full_profile,0.15454066172298384,0.352588002980504
ett1_15min_ot--flowstate,reference,0.15458628040877817,0.35266656992394296
ett1_15min_ot--flowstate,conditional_ar,0.15574201345296967,0.35585545786330924
ett1_15min_ot--flowstate,geometry,0.15440418314683227,0.3522988682194857
ett1_15min_ot--flowstate,time,0.15455114328149033,0.35262723274853564
jena_weather_10min_temperature--flowstate,ar_2026091903,0.08350564870402145,0.29183056276675634
jena_weather_10min_temperature--flowstate,ar_2026091904,0.0835307458764809,0.2919785202023754
jena_weather_10min_temperature--flowstate,ar_2026091905,0.0834946972289771,0.2920252620681788
jena_weather_10min_temperature--flowstate,ar_2026091906,0.08358049557796465,0.2922588259829179
jena_weather_10min_temperature--flowstate,ar_2026091907,0.08363697383838371,0.29227017170128544
jena_weather_10min_temperature--flowstate,full_profile,0.08275226202600566,0.28909235139931666
jena_weather_10min_temperature--flowstate,reference,0.08292671207282085,0.28966366139434746
jena_weather_10min_temperature--flowstate,conditional_ar,0.08354971224516558,0.29207266854430286
jena_weather_10min_temperature--flowstate,geometry,0.08275045800812386,0.2890014959385789
jena_weather_10min_temperature--flowstate,time,0.08292671207282085,0.2896636613943474
loop_seattle_5min_speed--flowstate,ar_2026091903,0.3661203954331252,2.9774949714400267
loop_seattle_5min_speed--flowstate,ar_2026091904,0.3661152740381992,2.977239544009595
loop_seattle_5min_speed--flowstate,ar_2026091905,0.36614137575238925,2.9781454595650985
loop_seattle_5min_speed--flowstate,ar_2026091906,0.3660985528923065,2.977368668797806
loop_seattle_5min_speed--flowstate,ar_2026091907,0.36612014692089273,2.9775093356631563
loop_seattle_5min_speed--flowstate,full_profile,0.3628669339342496,2.9492776872144466
loop_seattle_5min_speed--flowstate,reference,0.3632750117201637,2.953435669051668
loop_seattle_5min_speed--flowstate,conditional_ar,0.36611914900738257,2.9775515958951364
loop_seattle_5min_speed--flowstate,geometry,0.3631758804296366,2.9528564117794276
loop_seattle_5min_speed--flowstate,time,0.36326121338520084,2.9534936747859963
ett2_15min_ot--flowstate,ar_2026091903,0.0956143273659275,0.5776965264287635
ett2_15min_ot--flowstate,ar_2026091904,0.09560570567314847,0.5776301717817933
ett2_15min_ot--flowstate,ar_2026091905,0.0956002087315738,0.5775810928689389
ett2_15min_ot--flowstate,ar_2026091906,0.09561783961106052,0.5777254165891174
ett2_15min_ot--flowstate,ar_2026091907,0.09561791275162468,0.5777208770708514
ett2_15min_ot--flowstate,full_profile,0.09425110261397007,0.567591407789429
ett2_15min_ot--flowstate,reference,0.09424172419031111,0.5698349555884512
ett2_15min_ot--flowstate,conditional_ar,0.095611198826667,0.5776708169478928
ett2_15min_ot--flowstate,geometry,0.0939749118993182,0.5679651246507579
ett2_15min_ot--flowstate,time,0.09424173695875067,0.5698396134109466
electricity_15min_load--flowstate,ar_2026091903,0.12345352795354846,28.20253418769868
electricity_15min_load--flowstate,ar_2026091904,0.12348334766823245,28.217923454112196
electricity_15min_load--flowstate,ar_2026091905,0.12852809491999026,29.268083590845162
electricity_15min_load--flowstate,ar_2026091906,0.12776816172026173,29.06776673126141
electricity_15min_load--flowstate,ar_2026091907,0.12346387624458256,28.247846303285154
electricity_15min_load--flowstate,full_profile,0.1218423050724786,27.82391259026132
electricity_15min_load--flowstate,reference,0.12347877103918692,28.25985304081038
electricity_15min_load--flowstate,conditional_ar,0.1253394017013231,28.600830853440524
electricity_15min_load--flowstate,geometry,0.12320731329514963,28.179681823532945
electricity_15min_load--flowstate,time,0.12347877103918692,28.25985304081038
solar_10min_power--flowstate,ar_2026091903,0.09401434392879993,0.6747917406534585
solar_10min_power--flowstate,ar_2026091904,0.09396977648407813,0.6743092274468404
solar_10min_power--flowstate,ar_2026091905,0.09396617498560564,0.6747686849486085
solar_10min_power--flowstate,ar_2026091906,0.09392819060276827,0.6745997272277321
solar_10min_power--flowstate,ar_2026091907,0.09409177228900556,0.674998826711053
solar_10min_power--flowstate,full_profile,0.09368469682618702,0.6679659451453137
solar_10min_power--flowstate,reference,0.0937886911653634,0.6691559508759117
solar_10min_power--flowstate,conditional_ar,0.0939940516580515,0.6746936413975385
solar_10min_power--flowstate,geometry,0.09370178142118502,0.6677759407649884
solar_10min_power--flowstate,time,0.09378883867589387,0.6691543931324322
