group,coverage_time,coverage_geometry,absolute_error_time,absolute_error_geometry,relative_width_increase,coverage_error_improved_cells,normalized_crps_gain,normalized_is90_gain,physical_crps_gain,physical_is90_gain
all,86.29609100031324,87.508659176306,3.703908999686772,2.6611595229992875,4.077044519684041,11,0.20051159993866863,1.212437832330506,0.24831830343419273,1.5321940576044837
low,88.6812567212691,88.76596618591415,2.708060511563411,2.729707221213835,0.2367909354005234,5,-0.0061918812544886626,-0.00941086307616005,-0.010553565548413838,0.03491930330580447
middle,87.18247366653225,87.87466139291175,3.23568002513393,2.528374645020745,2.6169894286978606,10,0.01828150386075089,0.39574458262789286,0.026669282555706147,0.4427436073583526
high,82.69977381171249,85.68476465076853,7.300226188287519,4.315235349231474,9.84726883122306,12,0.6569867842174523,3.5899881338118234,0.6898063894946405,3.868405142225905
