cell,scoring,shift,crps
electricity_15min_load--flowstate,normalized,6,0.12335810423501077
electricity_15min_load--flowstate,normalized,7,0.12336097429543849
electricity_15min_load--flowstate,normalized,8,0.12337374129985769
electricity_15min_load--flowstate,normalized,9,0.12337395976827241
electricity_15min_load--flowstate,normalized,10,0.12338028913279542
electricity_15min_load--flowstate,normalized,11,0.12337765727002876
electricity_15min_load--flowstate,normalized,12,0.12337985248481591
electricity_15min_load--flowstate,normalized,13,0.12337913921556665
electricity_15min_load--flowstate,normalized,14,0.1233817807923898
electricity_15min_load--flowstate,normalized,15,0.12338346885116085
electricity_15min_load--flowstate,normalized,16,0.1233806327623028
electricity_15min_load--flowstate,normalized,17,0.12338228425375779
electricity_15min_load--flowstate,normalized,18,0.12338406668624113
electricity_15min_load--flowstate,normalized,19,0.1233880080559115
electricity_15min_load--flowstate,normalized,20,0.12338592338545543
electricity_15min_load--flowstate,normalized,21,0.12338910400783669
electricity_15min_load--flowstate,normalized,22,0.12338980030581732
electricity_15min_load--flowstate,normalized,23,0.1233785799291659
electricity_15min_load--flowstate,normalized,24,0.12336345713947793
electricity_15min_load--flowstate,normalized,25,0.12336373091993695
electricity_15min_load--flowstate,normalized,26,0.12336832839616586
electricity_15min_load--flowstate,normalized,27,0.12336949581310235
electricity_15min_load--flowstate,normalized,28,0.12337814046571438
electricity_15min_load--flowstate,normalized,29,0.12340359361817858
electricity_15min_load--flowstate,normalized,30,0.12338722128597553
electricity_15min_load--flowstate,normalized,31,0.12340210323081288
electricity_15min_load--flowstate,normalized,32,0.12340680289290844
electricity_15min_load--flowstate,normalized,33,0.12341245683100344
electricity_15min_load--flowstate,normalized,34,0.12341359026751837
electricity_15min_load--flowstate,normalized,35,0.1234134492651246
electricity_15min_load--flowstate,normalized,36,0.12340993534278677
electricity_15min_load--flowstate,normalized,37,0.12340949604982843
electricity_15min_load--flowstate,normalized,38,0.12340666977256123
electricity_15min_load--flowstate,normalized,39,0.12340598356724966
electricity_15min_load--flowstate,normalized,40,0.12340612751788609
electricity_15min_load--flowstate,normalized,41,0.12339932658764632
electricity_15min_load--flowstate,normalized,42,0.12339273275644885
electricity_15min_load--flowstate,normalized,43,0.12337257154451493
electricity_15min_load--flowstate,normalized,44,0.12335169846489609
electricity_15min_load--flowstate,normalized,45,0.1233187461087462
electricity_15min_load--flowstate,normalized,46,0.12327427059503948
electricity_15min_load--flowstate,normalized,47,0.12325527678914434
electricity_15min_load--flowstate,physical,0,28.179681823532945
electricity_15min_load--flowstate,physical,1,28.179940548008407
electricity_15min_load--flowstate,physical,2,28.196604074469583
electricity_15min_load--flowstate,physical,3,28.207151647295447
electricity_15min_load--flowstate,physical,4,28.214563581589303
electricity_15min_load--flowstate,physical,5,28.216179870862188
electricity_15min_load--flowstate,physical,6,28.216869325128613
electricity_15min_load--flowstate,physical,7,28.215406635023783
electricity_15min_load--flowstate,physical,8,28.21380513645348
electricity_15min_load--flowstate,physical,9,28.21495494568669
electricity_15min_load--flowstate,physical,10,28.215349116778395
electricity_15min_load--flowstate,physical,11,28.211279935527543
electricity_15min_load--flowstate,physical,12,28.21267662672007
electricity_15min_load--flowstate,physical,13,28.21822339733839
electricity_15min_load--flowstate,physical,14,28.22001311845433
electricity_15min_load--flowstate,physical,15,28.22361974609378
electricity_15min_load--flowstate,physical,16,28.223473919780663
electricity_15min_load--flowstate,physical,17,28.22163785820293
electricity_15min_load--flowstate,physical,18,28.224357096066928
electricity_15min_load--flowstate,physical,19,28.225361047168768
electricity_15min_load--flowstate,physical,20,28.220655660588083
electricity_15min_load--flowstate,physical,21,28.21923647113274
electricity_15min_load--flowstate,physical,22,28.219131959875483
electricity_15min_load--flowstate,physical,23,28.223388688095564
electricity_15min_load--flowstate,physical,24,28.216471765335896
electricity_15min_load--flowstate,physical,25,28.214797063639722
electricity_15min_load--flowstate,physical,26,28.21714066330374
electricity_15min_load--flowstate,physical,27,28.221971171041556
electricity_15min_load--flowstate,physical,28,28.221211171944454
electricity_15min_load--flowstate,physical,29,28.215585628366366
electricity_15min_load--flowstate,physical,30,28.225455193948108
electricity_15min_load--flowstate,physical,31,28.223783277781056
electricity_15min_load--flowstate,physical,32,28.22448999249875
electricity_15min_load--flowstate,physical,33,28.226907749488188
electricity_15min_load--flowstate,physical,34,28.225357570533294
electricity_15min_load--flowstate,physical,35,28.223559066183302
electricity_15min_load--flowstate,physical,36,28.22255447712992
electricity_15min_load--flowstate,physical,37,28.223809997002213
electricity_15min_load--flowstate,physical,38,28.221813571083587
electricity_15min_load--flowstate,physical,39,28.224433291276068
electricity_15min_load--flowstate,physical,40,28.212385059610607
electricity_15min_load--flowstate,physical,41,28.21227644164187
electricity_15min_load--flowstate,physical,42,28.208050933214793
electricity_15min_load--flowstate,physical,43,28.208034436482865
electricity_15min_load--flowstate,physical,44,28.196693029174103
electricity_15min_load--flowstate,physical,45,28.19143891868883
electricity_15min_load--flowstate,physical,46,28.186155828372772
electricity_15min_load--flowstate,physical,47,28.187887619342874
ett1_15min_ot--chronos,normalized,0,0.1538244943793186
ett1_15min_ot--chronos,normalized,1,0.15383766447902045
ett1_15min_ot--chronos,normalized,2,0.153854988020594
ett1_15min_ot--chronos,normalized,3,0.1538836181257028
ett1_15min_ot--chronos,normalized,4,0.15389236967732964
ett1_15min_ot--chronos,normalized,5,0.15388342106555714
ett1_15min_ot--chronos,normalized,6,0.1538832428100117
ett1_15min_ot--chronos,normalized,7,0.15390561518939164
ett1_15min_ot--chronos,normalized,8,0.15390505070690927
ett1_15min_ot--chronos,normalized,9,0.15391382714420462
ett1_15min_ot--chronos,normalized,10,0.15391732372848824
ett1_15min_ot--chronos,normalized,11,0.15393567671394592
ett1_15min_ot--chronos,normalized,12,0.15394167528235503
ett1_15min_ot--chronos,normalized,13,0.1539441096001535
ett1_15min_ot--chronos,normalized,14,0.15395890092644215
ett1_15min_ot--chronos,normalized,15,0.15399470082612238
ett1_15min_ot--chronos,normalized,16,0.15397730871101187
ett1_15min_ot--chronos,normalized,17,0.15396732387047715
ett1_15min_ot--chronos,normalized,18,0.15395632212405
ett1_15min_ot--chronos,normalized,19,0.15395027557728633
ett1_15min_ot--chronos,normalized,20,0.15393461450423337
ett1_15min_ot--chronos,normalized,21,0.1539384772946797
ett1_15min_ot--chronos,normalized,22,0.1539379584868792
