method,mean_normalized_score,geometry_mean_normalized_score,normalized_mean,normalized_median,normalized_positive,pooled_normalized_gain,reference_standardized_pool_gain,physical_mean,physical_median,physical_positive,normalized_ci,physical_ci
time,0.15519145493694508,0.15492893528683893,0.20051159993865567,0.14256618172180935,12,0.16915857268867684,0.20051159993865753,0.24831830343418904,0.20458826227333637,12,,
reference,0.1552365997924438,0.15492893528683893,0.2423665709409171,0.19877162885784672,12,0.1981907011724071,0.24244034449372176,0.2960928502818899,0.21741475233235108,12,,
full_profile,0.1549819767597326,0.15492893528683893,0.051462094909652624,0.01381109622679011,7,0.03422428465724714,0.05384561126385856,0.00564059242025942,0.029936526211232772,7,"[-0.16363205883898446, 0.2387418559864391]","[-0.18688006018472353, 0.18243149075956033]"
conditional_ar,0.15633160786170572,0.15492893528683893,0.8284914123104311,0.9078126444102497,11,0.8972418271982585,0.8335635464886137,0.9859672221151978,1.0384098232421313,11,"[0.5317389870949133, 1.0835869328134669]","[0.7061106289128385, 1.2784472178576043]"
