scoring,comparator,gain_percent,median_percent,without_top_two_percent,positive_cells,cells,ci_low,ci_high,family_size
normalized,time,0.20051159993866863,0.14256618172180935,0.13591258288480734,12,12,0.10408448843964202,0.3196095414322315,144
normalized,mean_shifts,0.1801028355162317,0.15088049612745902,0.1298546030217207,12,12,0.1269084829741352,0.23651231831458389,2
physical,time,0.24831830343419273,0.20458826227333082,0.16127910049491545,12,12,0.11313745649208089,0.37756700481897437,144
physical,mean_shifts,0.2034450539733612,0.15356251846364577,0.13715427846955563,11,12,0.14131835680223806,0.26741708603611136,2
