cell,group,metric,geometry,time,gain_percent
electricity_15min_load--chronos,all,bounded_crps,0.11896748466574747,0.11931804587500267,0.2938040148783849
electricity_15min_load--flowstate,all,bounded_crps,0.12320731329514963,0.1234787710391869,0.21984163087526154
ett1_15min_ot--chronos,all,bounded_crps,0.1538244943793186,0.15395913594930855,0.08745279658770588
ett1_15min_ot--flowstate,all,bounded_crps,0.15440418314683227,0.1545511432814903,0.09508835168586804
ett2_15min_ot--chronos,all,bounded_crps,0.09863535418353969,0.09938392319091388,0.7532093555375208
ett2_15min_ot--flowstate,all,bounded_crps,0.0939749118993182,0.09424173695875067,0.28312833362702516
jena_weather_10min_temperature--chronos,all,bounded_crps,0.09131489909687987,0.09139256722353349,0.08498297948416056
jena_weather_10min_temperature--flowstate,all,bounded_crps,0.08275045800812386,0.08292671207282086,0.21254196662496838
loop_seattle_5min_speed--chronos,all,bounded_crps,0.38660180708005404,0.3873379196015238,0.19004401175775065
loop_seattle_5min_speed--flowstate,all,bounded_crps,0.3631758804296366,0.3632612133852009,0.023490797371150673
solar_10min_power--chronos,all,bounded_crps,0.09858865583628171,0.09865745198971505,0.0697323436252062
solar_10min_power--flowstate,all,bounded_crps,0.09370178142118502,0.09378883867589388,0.09282261720897633
electricity_15min_load--chronos,all,physical_crps,27.29185039081966,27.40413333240788,0.40972994922424677
electricity_15min_load--flowstate,all,physical_crps,28.179681823532942,28.25985304081038,0.28369297307265784
ett1_15min_ot--chronos,all,physical_crps,0.3522784470359129,0.352515250465516,0.06717537164432352
ett1_15min_ot--flowstate,all,physical_crps,0.3522988682194857,0.3526272327485356,0.093119446983847
ett2_15min_ot--chronos,all,physical_crps,0.5894037451145916,0.5951006356865669,0.9572986870368227
ett2_15min_ot--flowstate,all,physical_crps,0.5679651246507579,0.5698396134109466,0.32895023723752415
jena_weather_10min_temperature--chronos,all,physical_crps,0.32615084340826156,0.32639402337722245,0.07450503120268737
jena_weather_10min_temperature--flowstate,all,physical_crps,0.2890014959385789,0.2896636613943474,0.2285980411146804
loop_seattle_5min_speed--chronos,all,physical_crps,3.135265623479583,3.1416487428874915,0.20317737373917177
loop_seattle_5min_speed--flowstate,all,physical_crps,2.9528564117794276,2.953493674785996,0.021576582743632056
solar_10min_power--chronos,all,physical_crps,0.693008867016883,0.6937442136585933,0.10599679640314053
solar_10min_power--flowstate,all,physical_crps,0.6677759407649884,0.6691543931324322,0.20599915080748987
electricity_15min_load--chronos,all,bounded_is90,1.0388568017989055,1.0535851480702743,1.397926527186233
electricity_15min_load--flowstate,all,bounded_is90,1.0874156518853317,1.1069259444314143,1.7625652957393045
ett1_15min_ot--chronos,all,bounded_is90,1.4016435249883905,1.41092917011861,0.6581226986354549
ett1_15min_ot--flowstate,all,bounded_is90,1.4290085482932593,1.4369764457793543,0.5544904726516697
ett2_15min_ot--chronos,all,bounded_is90,0.9423226151931208,0.9807694886697615,3.9200723432768148
ett2_15min_ot--flowstate,all,bounded_is90,0.8382720128404977,0.8566158756679795,2.1414339085389256
jena_weather_10min_temperature--chronos,all,bounded_is90,0.849596458512136,0.8618592168887184,1.4228261572522771
jena_weather_10min_temperature--flowstate,all,bounded_is90,0.7162226487285018,0.7229499039103876,0.9305285394601293
loop_seattle_5min_speed--chronos,all,bounded_is90,3.8654673610272248,3.8990746631784656,0.8619302027893072
loop_seattle_5min_speed--flowstate,all,bounded_is90,3.3205475347228943,3.3169687513657373,-0.10789318879425025
solar_10min_power--chronos,all,bounded_is90,1.0066102766837277,1.0087063287209,0.2077960628868225
solar_10min_power--flowstate,all,bounded_is90,0.9018362692421577,0.9091041475168977,0.7994549683434382
electricity_15min_load--chronos,all,physical_is90,238.73407761567793,243.97959287373894,2.149981150585656
electricity_15min_load--flowstate,all,physical_is90,246.13076071698453,251.49618668963222,2.1334025152711766
ett1_15min_ot--chronos,all,physical_is90,3.207954691966707,3.227568179868368,0.6076862457623067
ett1_15min_ot--flowstate,all,physical_is90,3.2554175953845874,3.2732614580131307,0.5451401563068115
ett2_15min_ot--chronos,all,physical_is90,5.480094796951561,5.772084963690156,5.058660234133527
ett2_15min_ot--flowstate,all,physical_is90,5.0287325726914025,5.164658170287441,2.631841123155565
jena_weather_10min_temperature--chronos,all,physical_is90,3.0372305937353996,3.085321055106934,1.5586858065203102
jena_weather_10min_temperature--flowstate,all,physical_is90,2.4933930545667398,2.519821178206734,1.0488094896798361
loop_seattle_5min_speed--chronos,all,physical_is90,30.696064884222956,30.990295352656467,0.9494277646769467
loop_seattle_5min_speed--flowstate,all,physical_is90,26.966372779913502,26.935179283998902,-0.11580949800149565
solar_10min_power--chronos,all,physical_is90,6.998536224551872,7.0348287596326955,0.5158979176448142
solar_10min_power--flowstate,all,physical_is90,6.6298619922653295,6.71736274805576,1.3026057855183737
electricity_15min_load--chronos,all,original_crps,352.8344661791148,351.9539910415694,-0.25016768099141995
electricity_15min_load--flowstate,all,original_crps,348.0346219611017,348.14947373195116,0.03298921282812728
ett1_15min_ot--chronos,all,original_crps,0.17202146964984794,0.17218368289216202,0.09420941612433564
ett1_15min_ot--flowstate,all,original_crps,0.17293300580562146,0.17308814671763031,0.08963115900821883
